step,ego_action,partner_action,reward,total_return,sparse_return,deliveries,p0_pos,p0_orient,p0_held,p1_pos,p1_orient,p1_held,pots,objects
100,interact,"(0, 1)",3.3444,196.67059999999987,100.0,5.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)"
101,"(0, -1)","(0, 1)",-0.015600000000000147,196.65499999999986,100.0,5.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)"
102,interact,"(0, 0)",-0.015600000000000147,196.63939999999985,100.0,5.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)"
103,"(-1, 0)","(0, 1)",-0.015600000000000147,196.62379999999985,100.0,5.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)"
104,interact,"(0, 1)",3.3408,199.96459999999985,100.0,5.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)"
105,"(0, -1)","(0, 1)",-0.019200000000000016,199.94539999999984,100.0,5.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)"
106,interact,"(0, 0)",-0.019200000000000016,199.92619999999982,100.0,5.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)"
107,"(-1, 0)","(0, 1)",-0.019200000000000016,199.9069999999998,100.0,5.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)"
108,interact,"(0, 1)",3.456,203.3629999999998,100.0,5.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)"
109,"(0, -1)",interact,2.976,206.3389999999998,100.0,5.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)"
110,interact,"(1, 0)",-0.02400000000000002,206.3149999999998,100.0,5.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)"
111,"(0, 1)",interact,0.5700000000000001,206.8849999999998,100.0,5.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)"
112,"(0, 0)",interact,5.4452,212.3301999999998,100.0,5.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
113,"(-1, 0)","(0, -1)",0.024600000000000222,212.35479999999978,100.0,5.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
114,interact,interact,21.0044,233.3591999999998,120.0,6.0,"(5, 3)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
115,"(0, -1)",interact,-0.015600000000000147,233.34359999999978,120.0,6.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
116,interact,"(0, 1)",-0.015600000000000147,233.32799999999978,120.0,6.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
117,"(0, 1)","(0, 1)",-0.015600000000000147,233.31239999999977,120.0,6.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
118,"(-1, 0)",interact,2.9844,236.29679999999976,120.0,6.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)"
119,interact,"(1, 0)",3.3408,239.63759999999976,120.0,6.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
120,"(0, -1)","(0, -1)",-0.019200000000000016,239.61839999999975,120.0,6.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
121,interact,"(-1, 0)",-0.019200000000000016,239.59919999999974,120.0,6.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
122,"(0, 1)","(1, 0)",-0.019200000000000016,239.57999999999973,120.0,6.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
123,"(-1, 0)",interact,-0.019200000000000016,239.56079999999972,120.0,6.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)"
124,interact,interact,3.456,243.0167999999997,120.0,6.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)"
125,"(0, -1)","(0, -1)",-0.02400000000000002,242.9927999999997,120.0,6.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)"
126,interact,"(-1, 0)",-0.02400000000000002,242.9687999999997,120.0,6.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)"
127,"(0, 1)","(1, 0)",0.5700000000000001,243.5387999999997,120.0,6.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)"
128,"(0, 0)",interact,5.5046,249.0433999999997,120.0,6.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 5)","(4, 3):soup('onion', 3, 5)"
129,"(-1, 0)","(0, -1)",-0.0354000000000001,249.0079999999997,120.0,6.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
130,"(0, -1)",interact,17.648,266.6559999999997,140.0,7.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
131,"(-1, 0)","(0, 1)",-0.01200000000000001,266.6439999999997,140.0,7.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 8)","(4, 3):soup('onion', 3, 8)"
132,interact,"(0, 1)",3.3444,269.98839999999973,140.0,7.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)"
133,"(0, -1)","(0, 1)",-0.015600000000000147,269.9727999999997,140.0,7.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)"
134,interact,"(0, 0)",-0.015600000000000147,269.9571999999997,140.0,7.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)"
135,"(-1, 0)","(0, 1)",-0.015600000000000147,269.9415999999997,140.0,7.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)"
136,interact,"(0, 1)",3.3408,273.2823999999997,140.0,7.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)"
137,"(0, -1)","(0, 1)",-0.019200000000000016,273.2631999999997,140.0,7.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)"
138,interact,"(0, 0)",-0.019200000000000016,273.2439999999997,140.0,7.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)"
139,"(-1, 0)","(0, 1)",-0.019200000000000016,273.2247999999997,140.0,7.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)"
140,interact,"(0, 1)",3.456,276.6807999999997,140.0,7.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)"
141,"(0, -1)",interact,2.976,279.6567999999997,140.0,7.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)"
142,interact,"(1, 0)",-0.02400000000000002,279.6327999999997,140.0,7.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)"
143,"(0, 1)",interact,0.5700000000000001,280.2027999999997,140.0,7.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)"
144,"(0, 0)",interact,5.4452,285.6479999999997,140.0,7.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
145,"(-1, 0)","(0, -1)",0.024600000000000222,285.6725999999997,140.0,7.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
146,interact,interact,21.0044,306.6769999999997,160.0,8.0,"(5, 3)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
147,"(0, -1)",interact,-0.015600000000000147,306.6613999999997,160.0,8.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
148,interact,"(0, 1)",-0.015600000000000147,306.64579999999967,160.0,8.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
149,"(0, 1)","(0, 1)",-0.015600000000000147,306.63019999999966,160.0,8.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
150,"(-1, 0)",interact,2.9844,309.61459999999965,160.0,8.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)"
151,interact,"(1, 0)",3.3408,312.95539999999966,160.0,8.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
152,"(0, -1)","(0, -1)",-0.019200000000000016,312.93619999999964,160.0,8.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
153,interact,"(-1, 0)",-0.019200000000000016,312.91699999999963,160.0,8.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
154,"(0, 1)","(1, 0)",-0.019200000000000016,312.8977999999996,160.0,8.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
155,"(-1, 0)",interact,-0.019200000000000016,312.8785999999996,160.0,8.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)"
156,interact,interact,3.456,316.3345999999996,160.0,8.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)"
157,"(0, -1)","(0, -1)",-0.02400000000000002,316.3105999999996,160.0,8.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)"
158,interact,"(-1, 0)",-0.02400000000000002,316.2865999999996,160.0,8.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)"
159,"(0, 1)","(1, 0)",0.5700000000000001,316.8565999999996,160.0,8.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)"
160,"(0, 0)",interact,5.5046,322.3611999999996,160.0,8.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 5)","(4, 3):soup('onion', 3, 5)"
161,"(-1, 0)","(0, -1)",-0.0354000000000001,322.3257999999996,160.0,8.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
162,"(0, -1)",interact,17.648,339.97379999999964,180.0,9.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
163,"(-1, 0)","(0, 1)",-0.01200000000000001,339.96179999999964,180.0,9.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 8)","(4, 3):soup('onion', 3, 8)"
164,interact,"(0, 1)",3.3444,343.30619999999965,180.0,9.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 9)"
165,"(0, -1)","(0, 1)",-0.015600000000000147,343.29059999999964,180.0,9.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 10)"
166,interact,"(0, 0)",-0.015600000000000147,343.27499999999964,180.0,9.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 11)"
167,"(-1, 0)","(0, 1)",-0.015600000000000147,343.25939999999963,180.0,9.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)","(4, 2):soup('onion', 1, 0);(4, 3):soup('onion', 3, 12)"
168,interact,"(0, 1)",3.3408,346.60019999999963,180.0,9.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 13)"
169,"(0, -1)","(0, 1)",-0.019200000000000016,346.5809999999996,180.0,9.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 14)"
170,interact,"(0, 0)",-0.019200000000000016,346.5617999999996,180.0,9.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 15)"
171,"(-1, 0)","(0, 1)",-0.019200000000000016,346.5425999999996,180.0,9.0,"(5, 2)","(-1, 0)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)","(4, 2):soup('onion', 2, 0);(4, 3):soup('onion', 3, 16)"
172,interact,"(0, 1)",3.456,349.9985999999996,180.0,9.0,"(5, 2)","(-1, 0)",,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)","(4, 2):soup('onion', 3, 1);(4, 3):soup('onion', 3, 17)"
173,"(0, -1)",interact,2.976,352.9745999999996,180.0,9.0,"(5, 2)","(0, -1)",,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)","(4, 2):soup('onion', 3, 2);(4, 3):soup('onion', 3, 18)"
174,interact,"(1, 0)",-0.02400000000000002,352.9505999999996,180.0,9.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)","(4, 2):soup('onion', 3, 3);(4, 3):soup('onion', 3, 19)"
175,"(0, 1)",interact,0.5700000000000001,353.5205999999996,180.0,9.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)","(4, 2):soup('onion', 3, 4);(4, 3):soup('onion', 3, 20)"
176,"(0, 0)",interact,5.4452,358.9657999999996,180.0,9.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(1, 0)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 5);(4, 3):empty","(4, 2):soup('onion', 3, 5)"
177,"(-1, 0)","(0, -1)",0.024600000000000222,358.9903999999996,180.0,9.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):soup('onion', 3, 6);(4, 3):empty","(4, 2):soup('onion', 3, 6)"
178,interact,interact,21.0044,379.9947999999996,200.0,10.0,"(5, 3)","(-1, 0)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 7);(4, 3):soup('onion', 1, 0)"
179,"(0, -1)",interact,-0.015600000000000147,379.9791999999996,200.0,10.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",,"(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 8);(4, 3):soup('onion', 1, 0)"
180,interact,"(0, 1)",-0.015600000000000147,379.9635999999996,200.0,10.0,"(5, 2)","(0, -1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 9);(4, 3):soup('onion', 1, 0)"
181,"(0, 1)","(0, 1)",-0.015600000000000147,379.9479999999996,200.0,10.0,"(5, 3)","(0, 1)",onion,"(3, 3)","(0, 1)",,"(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 10);(4, 3):soup('onion', 1, 0)"
182,"(-1, 0)",interact,2.9844,382.9323999999996,200.0,10.0,"(5, 3)","(-1, 0)",onion,"(3, 3)","(0, 1)",dish,"(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)","(4, 2):soup('onion', 3, 11);(4, 3):soup('onion', 1, 0)"
183,interact,"(1, 0)",3.3408,386.2731999999996,200.0,10.0,"(5, 3)","(-1, 0)",,"(3, 3)","(1, 0)",dish,"(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 12);(4, 3):soup('onion', 2, 0)"
184,"(0, -1)","(0, -1)",-0.019200000000000016,386.25399999999956,200.0,10.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 13);(4, 3):soup('onion', 2, 0)"
185,interact,"(-1, 0)",-0.019200000000000016,386.23479999999955,200.0,10.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 14);(4, 3):soup('onion', 2, 0)"
186,"(0, 1)","(1, 0)",-0.019200000000000016,386.21559999999954,200.0,10.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 15);(4, 3):soup('onion', 2, 0)"
187,"(-1, 0)",interact,-0.019200000000000016,386.1963999999995,200.0,10.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)","(4, 2):soup('onion', 3, 16);(4, 3):soup('onion', 2, 0)"
188,interact,interact,3.456,389.65239999999955,200.0,10.0,"(5, 3)","(-1, 0)",,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)","(4, 2):soup('onion', 3, 17);(4, 3):soup('onion', 3, 1)"
189,"(0, -1)","(0, -1)",-0.02400000000000002,389.62839999999954,200.0,10.0,"(5, 2)","(0, -1)",,"(3, 2)","(0, -1)",dish,"(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)","(4, 2):soup('onion', 3, 18);(4, 3):soup('onion', 3, 2)"
190,interact,"(-1, 0)",-0.02400000000000002,389.60439999999954,200.0,10.0,"(5, 2)","(0, -1)",onion,"(2, 2)","(-1, 0)",dish,"(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)","(4, 2):soup('onion', 3, 19);(4, 3):soup('onion', 3, 3)"
191,"(0, 1)","(1, 0)",0.5700000000000001,390.17439999999954,200.0,10.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)",dish,"(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)","(4, 2):soup('onion', 3, 20);(4, 3):soup('onion', 3, 4)"
192,"(0, 0)",interact,5.5046,395.6789999999995,200.0,10.0,"(5, 3)","(0, 1)",onion,"(3, 2)","(1, 0)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 5)","(4, 3):soup('onion', 3, 5)"
193,"(-1, 0)","(0, -1)",-0.0354000000000001,395.64359999999954,200.0,10.0,"(5, 3)","(-1, 0)",onion,"(3, 2)","(0, -1)","soup('onion', 3, 20)","(4, 2):empty;(4, 3):soup('onion', 3, 6)","(4, 3):soup('onion', 3, 6)"
194,"(0, -1)",interact,17.648,413.29159999999956,220.0,11.0,"(5, 2)","(0, -1)",onion,"(3, 2)","(0, -1)",,"(4, 2):empty;(4, 3):soup('onion', 3, 7)","(4, 3):soup('onion', 3, 7)"
